%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83696.643,305.486,13.424,0.096,-171.154,195.284,1.500
83688.587,305.486,13.108,0.096,-171.154,195.284,1.500
83696.643,305.486,13.266,0.096,-171.138,195.254,1.500
83688.587,305.483,13.187,-0.224,-171.138,195.274,1.500
83680.531,305.486,13.345,0.096,-171.121,195.274,1.500
83680.531,305.488,13.187,-0.064,-171.187,195.264,1.500
83696.643,305.486,13.187,0.096,-171.138,195.274,1.500
83692.615,305.488,13.266,0.576,-171.154,195.284,1.500
83692.615,305.489,13.424,0.096,-171.154,195.284,1.500
83692.615,305.489,13.108,0.096,-171.154,195.274,1.500
83692.615,305.488,13.266,0.256,-171.154,195.274,1.500
83708.726,305.488,13.345,-0.064,-171.170,195.264,1.500
83688.587,305.486,13.266,0.256,-171.138,195.274,1.500
83688.587,305.488,13.108,0.096,-171.154,195.284,1.500
83696.643,305.491,13.266,-0.224,-171.154,195.284,1.500
83692.615,305.488,13.424,0.096,-171.121,195.264,1.500
83684.559,305.486,13.424,-0.064,-171.187,195.284,1.500
83692.615,305.489,13.187,0.256,-171.154,195.264,1.500
83696.643,305.486,13.424,-0.064,-171.138,195.284,1.500
83704.698,305.481,13.108,0.096,-171.138,195.274,1.500
83708.726,305.510,49.588,0.256,-171.154,195.284,3.500
83692.615,305.512,49.272,0.256,-171.170,195.264,3.500
83688.587,305.507,49.272,-0.064,-171.138,195.264,3.500
83684.559,305.505,49.351,-0.064,-171.154,195.295,3.500
83688.587,305.510,49.272,-0.064,-171.170,195.264,3.500
83692.615,305.510,49.272,0.096,-171.170,195.233,3.500
83692.615,305.513,49.272,0.256,-171.154,195.274,3.500
83704.698,305.513,49.351,0.256,-171.154,195.284,3.500
83692.615,305.510,49.272,-0.064,-171.138,195.274,3.500
83692.615,305.509,49.193,-0.064,-171.138,195.284,3.500
83692.615,305.509,49.272,0.096,-171.154,195.284,3.500
83692.615,305.507,49.193,0.256,-171.121,195.274,3.500
83692.615,305.513,49.509,0.096,-171.170,195.284,3.500
83696.643,305.512,49.430,0.256,-171.138,195.264,3.500
83696.643,305.512,49.746,0.096,-171.138,195.284,3.500
83684.559,305.512,49.509,-0.064,-171.154,195.264,3.500
83688.587,305.505,49.351,0.256,-171.138,195.274,3.500
83696.643,305.510,49.351,-0.064,-171.105,195.254,3.500
83684.559,305.507,49.351,0.096,-171.138,195.295,3.500
83688.587,305.510,49.667,0.096,-171.170,195.284,3.500
83680.531,305.517,83.700,-0.064,-171.170,195.284,5.500
83672.475,305.518,83.937,0.096,-171.170,195.274,5.500
83692.615,305.520,84.016,0.096,-171.138,195.295,5.500
83692.615,305.518,84.095,-0.064,-171.170,195.274,5.500
83688.587,305.518,84.174,-0.064,-171.154,195.284,5.500
83692.615,305.517,84.095,0.096,-171.138,195.264,5.500
83680.531,305.517,84.016,0.096,-171.154,195.284,5.500
83684.559,305.520,84.253,-0.224,-171.170,195.264,5.500
83680.531,305.521,84.332,0.256,-171.170,195.264,5.500
83684.559,305.528,84.253,-0.064,-171.187,195.254,5.500
83696.643,305.520,84.332,0.096,-171.170,195.264,5.500
83692.615,305.520,84.569,-0.064,-171.170,195.284,5.500
83684.559,305.518,84.569,0.096,-171.170,195.264,5.500
83684.559,305.518,84.490,0.096,-171.170,195.274,5.500
83688.587,305.520,84.726,0.096,-171.154,195.274,5.500
83692.615,305.521,84.805,-0.064,-171.170,195.274,5.500
83684.559,305.523,84.726,0.096,-171.138,195.274,5.500
